content,score,at
CUKUP SEKALI SEUMUR HIDUP LANGGANAN DISNEY. FILM LAMA UPDATE. DIBIOSKOP 2 BULAN SELESAI TAYANG TAPI DI DISNEY BELUM ADA. MAHAL DOANG GA BERKUALITAS.,1,2025-01-26 12:58:53
"Untuk sekarang cukup puas, namun ada bug yang cukup membuat kesal, Dan Tolonglah Disney+, berlangganan sekarang mahalnya seperti Netflix, masih aja ada Bug yang merugikan pengguna!",4,2025-01-25 23:30:55
Anjirr w ud batalin berlangganannya tapi kok masih nyedot duit w .. Anjir banget 😭,3,2025-01-25 05:31:12
saya sudah langganan beberapa kali dan sebelumnya aman saja tapi semenjak tahun 2025 ini entah kenapa banyak bug errornya yang mulai video tidak bisa di putar melalui hp atau kalau pas di putar di tv suara tersendat sendat entahlah terlanjur langganan bulanan juga,2,2025-01-24 23:05:07
Bagus dan keren,4,2025-01-24 15:07:32
Alay,1,2025-01-24 14:35:35
cacat,1,2025-01-24 12:18:05
Bad,1,2025-01-24 11:31:45
Kecewa,1,2025-01-24 11:23:59
"Kata nya free kalo mau nntn ini mau nntn Frozen, Moana aja harus berlangganan masa saya cuma harus bisa nntn trailer nya doang itu juga 1 mnt masuk nya juga ribet habis habisin uang cuma buat nntn kartun doang perbaiki dong min mas asaya harus berlangganan buat nntn doang kan habis habisin uang udh nabung sampe 1 JT 200 masa saya harus bayar 700an ribuuu!😭 Perbaiki dong min saya kasih bintang 🌟🌟 aja",2,2025-01-24 11:23:47
Sulit banget buat login,1,2025-01-24 11:00:58
Bagus,5,2025-01-23 23:58:25
"Gak bisa daftar , percuma di download, udah masukin nomor hp malah keterangan nya terjadi kesalahan, saya coba berkali2 bahkan sampe pake 3 nomor semua nya gak ada yang bisa login, saya uninstall aja daripada darah tinggi saya naik",1,2025-01-23 21:06:02
"Ada kemungkinan kita bayar tapi tidak bisa menggunakan aplikasinya. Aku saya tiba-tiba tidak bisa diakses, alasannya karna banyak yang menggunakan akun saya, padahal cuma login di 2 hp. masih dibawah batas maksimal pemakaian akun. Jadinya seperti sampah ini aplikasi.",1,2025-01-23 17:53:43
Aplikasi Tidak Berguna. Pajang saja di lemari kalau tidak dapat digunakan.,1,2025-01-23 16:48:01
"Kenapa yah Disney ku kok ada tulisan sepertinya anda menggunakan pvn, proxy atau lainnya. Padahal semuanya gk aktif. Jdi gk bisa buka apk. Mohon gmna cara atasi nya biar bisa d buka lagi.",2,2025-01-23 12:03:39
"semua sudah bagus, hanya ada sedikit keluhan saat meng-skip video yang terlalu jauh, suaranya terkadang berubah",2,2025-01-22 22:30:52
"Vidionya hanya muncul suara doang, layarnya gelap",1,2025-01-22 17:44:28
"Aplikasi g jelas, udah langganan tapi g bisa login, kode otp nya error terus",1,2025-01-22 12:26:52
Aplikasinya instal ulang terus,1,2025-01-22 00:21:01
"Aplikasi bangke, beli paket indihome bundle disney hotstar, sudah lancar bayarnya tapi giliran dibuka aplikasi malah suruh berlangganan. Sudah di laporkan ke pihak indihome tapi dari pihak disneynya sepertinya masa bodo tidak mau memperbaiki masalahnya",1,2025-01-21 19:15:19
apa bae dah nih aplikasi ga niat bener,1,2025-01-21 18:31:20
Ini kenapa ada suara tapi nggak ada gambarnya Kecewa banget Mending pake netflix,1,2025-01-21 15:43:55
jelek,1,2025-01-21 08:10:07
Error terus..Tidak bisa login..,1,2025-01-20 20:06:57
"kenapa ga bisa login sih, otp error mulu dah bayar langganan juga",1,2025-01-20 13:22:03
"Gak bisa masuk OTP error terus pdhal udah berlangganan terakhir hari Sabtu masih bisa nonton, dr hari Minggu sampai sekarang error terus . .",1,2025-01-20 12:06:40
Kok udah berhenti langganan masih otomatis bayar gimana ya,1,2025-01-20 01:56:05
"Nonton blooo,on berlangganan, taii👎👎👎👎👎👎👎👎💵💵💵💵💵😏💵💵",1,2025-01-19 20:46:42
Udah gw keluarin dari tv biar bisa nonton di hp tetep aja gak bisa lebih dari satu katanya yang nonton tod. Gimana ini gw mau nonton jadi gk mood dah nyesel gw mending netflix,1,2025-01-19 18:48:31
Bagus sih TPI knp harus premium,1,2025-01-19 18:43:21
Aneh,1,2025-01-19 18:27:04
"Aplikasinya jelek, mau login susahnya minta ampun, 😑",1,2025-01-19 17:18:43
"Langganan indihome paket jitu 1 (plus disney hot star gratis) tapi sejak bulan januari 2025 disney hot starnya gak bisa di mainkan, di minta untuk berlangganan lagi, pafahal sudah bayar include paket indihome",1,2025-01-19 14:35:25
